code_insee,departement,loyer_moyen,nom,code_postal,population,note
12145,12,8.95,Millau,12100,21979,3.6
12146,12,9.12,Le Monastère,12000,2284,4.4
12174,12,8.99,Olemps,12510,3439,4.4
12176,12,8.92,Onet-le-Château,12000,11665,
12185,12,7.42,Pont-de-Salars,12290,1639,
12199,12,7.25,Rignac,12390,1991,3.6
12202,12,8.77,Rodez,12000,24475,3.2
12208,12,8.39,Saint-Affrique,12400,8023,4.3
12264,12,9.15,Sébazac-Concourès,12740,3256,3.0
12300,12,7.96,Villefranche-de-Rouergue,12200,11602,3.2
12305,12,6.99,Viviez,12110,1243,2.1
13001,13,16.56,Aix-en-Provence,13080,145133,3.6
13002,13,15.49,Allauch,13190,21372,3.6
13003,13,11.47,Alleins,13980,2626,3.4
13004,13,11.52,Arles,13104,50454,2.9
13005,13,13.8,Aubagne,13400,47535,3.1
13007,13,12.82,Auriol,13390,12922,3.9
13010,13,11.22,Barbentane,13570,4192,3.4
13014,13,13.16,Berre-l'Étang,13130,13660,3.7
13015,13,15.95,Bouc-Bel-Air,13320,14838,4.1
13016,13,13.37,La Bouilladisse,13720,6270,1.9
13018,13,10.72,Cabannes,13440,4439,3.2
13019,13,15.8,Cabriès,13480,9918,3.7
13020,13,13.27,Cadolive,13950,2168,4.6
13021,13,17.57,Carry-le-Rouet,13620,5690,2.9
13022,13,16.75,Cassis,13260,6905,3.6
13023,13,13.49,Ceyreste,13600,4729,4.2
13024,13,11.43,Charleval,13350,2669,3.9
13025,13,16.45,Châteauneuf-le-Rouge,13790,2380,
13026,13,14.54,Châteauneuf-les-Martigues,13220,17606,3.3
13027,13,11.48,Châteaurenard,13160,16063,3.9
13028,13,14.81,La Ciotat,13600,35993,3.3
13030,13,11.41,Cuges-les-Pins,13780,5244,
13031,13,13.74,La Destrousse,13112,3768,
13032,13,15.25,Éguilles,13510,8030,
13033,13,15.97,Ensuès-la-Redonne,13820,5783,3.4
13035,13,11.46,Eyguières,13430,6844,3.8
13036,13,11.29,Eyragues,13630,4496,3.8
13037,13,13.78,La Fare-les-Oliviers,13580,8744,2.5
13038,13,11.9,Fontvieille,13990,3544,3.5
13039,13,13.35,Fos-sur-Mer,13270,15687,3.0
13040,13,14.11,Fuveau,13710,10161,3.5
13041,13,13.83,Gardanne,13120,21521,2.9
13042,13,14.83,Gémenos,13420,6635,4.3
13043,13,13.9,Gignac-la-Nerthe,13180,9887,2.9
13044,13,12.23,Grans,13450,5196,4.0
13045,13,11.05,Graveson,13690,4856,3.4
13046,13,14.44,Gréasque,13850,4271,
13047,13,13.6,Istres,13118,43626,3.2
13048,13,12.09,Jouques,13490,4406,3.4
13049,13,13.17,Lamanon,13113,2037,4.0
13050,13,12.95,Lambesc,13410,9909,4.2
13051,13,13.48,Lançon-Provence,13680,8941,3.9
13052,13,11.09,Maillane,13910,2667,4.4
13053,13,12.29,Mallemort,13370,6134,2.3
13054,13,13.41,Marignane,13700,32384,3.5
13056,13,13.42,Martigues,13117,48574,3.4
13058,13,12.94,Maussane-les-Alpilles,13520,2362,
13059,13,12.77,Meyrargues,13650,3855,3.8
13060,13,16.06,Meyreuil,13590,5821,5.0
13062,13,14.34,Mimet,13105,4213,3.7
13063,13,12.26,Miramas,13140,26428,3.2
13065,13,11.98,Mouriès,13890,3410,2.3
13066,13,11.2,Noves,13550,5847,4.2
13067,13,10.57,Orgon,13660,2821,
13069,13,12.96,Pélissanne,13330,10487,3.7
13070,13,14.57,La Penne-sur-Huveaune,13821,6519,3.2
13071,13,15.2,Les Pennes-Mirabeau,13170,21623,3.9
13072,13,14.15,Peynier,13790,3540,
13073,13,13.52,Peypin,13124,5598,2.7
13074,13,12.33,Peyrolles-en-Provence,13860,5134,5.0
13075,13,15.57,Plan-de-Cuques,13380,11649,4.3
13077,13,12.58,Port-de-Bouc,13110,16651,2.2
13078,13,11.17,Port-Saint-Louis-du-Rhône,13230,8424,3.3
13080,13,13.73,Le Puy-Sainte-Réparade,13610,5882,
13081,13,13.81,Rognac,13340,12086,2.9
13082,13,12.87,Rognes,13840,4637,3.3
13083,13,11.75,Rognonas,13870,4058,4.4
13084,13,11.96,La Roque-d'Anthéron,13640,5426,3.9
13085,13,14.83,Roquefort-la-Bédoule,13830,6015,3.6
13086,13,12.63,Roquevaire,13360,8713,3.8
13087,13,15.72,Rousset,13790,4918,4.2
13088,13,15.51,Le Rove,13740,5145,
13089,13,10.76,Saint-Andiol,13670,3346,4.0
13091,13,13.83,Saint-Cannat,13760,5638,3.5
13092,13,12.56,Saint-Chamas,13250,8591,3.2
13096,13,13.95,Saintes-Maries-de-la-Mer,13460,2144,2.4
13097,13,12.12,Saint-Martin-de-Crau,13310,13413,3.6
13098,13,12.71,Saint-Mitre-les-Remparts,13920,5820,3.0
13099,13,12.8,Saint-Paul-lès-Durance,13115,885,
13100,13,12.83,Saint-Rémy-de-Provence,13210,9769,3.2
13101,13,13.37,Saint-Savournin,13119,3443,3.8
13102,13,14.01,Saint-Victoret,13730,6631,3.2
13103,13,12.61,Salon-de-Provence,13300,45386,3.7
13104,13,17.54,Sausset-les-Pins,13960,7581,4.1
13105,13,11.58,Sénas,13560,6894,3.5
13106,13,13.83,Septèmes-les-Vallons,13240,11196,3.7
13107,13,13.46,Simiane-Collongue,13109,5808,3.8
13108,13,10.21,Tarascon,13150,15811,1.9
13109,13,16.9,Le Tholonet,13100,2271,3.9
13110,13,13.25,Trets,13530,10303,3.3
13111,13,14.01,Vauvenargues,13126,1007,
13112,13,15.22,Velaux,13880,8582,4.1
13113,13,16.16,Venelles,13770,8400,3.8
13114,13,16.3,Ventabren,13122,5407,4.3
13117,13,15.73,Vitrolles,13127,33333,2.9
13118,13,15.24,Coudoux,13111,3702,3.9
13119,13,14.82,Carnoux-en-Provence,13470,6498,4.0
13201,13,12.95,Marseille 1er Arrondissement,13001,39893,
13202,13,13.9,Marseille 2e Arrondissement,13002,25217,
13203,13,12.48,Marseille 3e Arrondissement,13003,51792,
13204,13,13.42,Marseille 4e Arrondissement,13004,49296,
13205,13,13.42,Marseille 5e Arrondissement,13005,46152,
13206,13,13.65,Marseille 6e Arrondissement,13006,42135,
13207,13,14.84,Marseille 7e Arrondissement,13007,34697,
13208,13,14.91,Marseille 8e Arrondissement,13008,81436,
13209,13,14.72,Marseille 9e Arrondissement,13009,76633,
13210,13,14.14,Marseille 10e Arrondissement,13010,58491,
13211,13,13.8,Marseille 11e Arrondissement,13011,57278,
13212,13,14.86,Marseille 12e Arrondissement,13012,61406,
13213,13,14.32,Marseille 13e Arrondissement,13013,91358,
13214,13,13.18,Marseille 14e Arrondissement,13014,61702,
13215,13,11.75,Marseille 15e Arrondissement,13015,77243,
13216,13,13.76,Marseille 16e Arrondissement,13016,16002,
14020,14,9.76,Argences,14370,3795,4.3
14022,14,10.5,Asnelles,14960,584,4.0
14027,14,9.69,Les Monts d'Aunay,14260,4595,
14047,14,10.35,Bayeux,14400,12682,4.1
14060,14,9.88,Bénouville,14970,2042,3.3
14066,14,10.68,Bernières-sur-Mer,14990,2274,
14076,14,11.04,Blainville-sur-Orne,14550,5855,4.0
14079,14,12.69,Blonville-sur-Mer,14910,1553,3.9
14098,14,9.49,Thue et Mue,14210,6120,3.0
14101,14,11.63,Bretteville-sur-Odon,14760,4005,4.0
14117,14,12.54,Cabourg,14390,3558,3.9
14118,14,11.59,Caen,14000,106230,3.7
14137,14,11.35,Carpiquet,14650,2886,1.9
14167,14,11.12,Colombelles,14460,6976,3.9
14174,14,7.94,Condé-en-Normandie,14110,6452,2.9
14181,14,11.87,Cormelles-le-Royal,14123,4957,4.2
14191,14,11.12,Courseulles-sur-Mer,14470,4196,3.3
14200,14,10.23,Creully sur Seulles,14480,2261,0.6
14220,14,15.42,Deauville,14800,3565,3.5
14221,14,10.67,Démouville,14840,3117,3.9
14225,14,11.46,Dives-sur-Mer,14160,5276,2.6
14228,14,11.23,Douvres-la-Délivrande,14440,4973,4.3
14242,14,11.35,Épron,14610,1623,
14258,14,9.69,Falaise,14700,7968,3.6
14271,14,11.36,Fleury-sur-Orne,14123,4938,3.9
14325,14,9.72,Hermanville-sur-Mer,14880,3110,4.1
14327,14,11.16,Hérouville-Saint-Clair,14200,22555,3.7
14333,14,11.13,Honfleur,14600,6733,3.6
14338,14,11.46,Houlgate,14510,1711,
14341,14,11.8,Ifs,14123,11696,4.1
14342,14,8.02,Isigny-sur-Mer,14230,3610,3.5
14354,14,10.52,Langrune-sur-Mer,14830,1934,
14365,14,11.87,Lion-sur-Mer,14780,2536,
14366,14,9.53,Lisieux,14100,20038,2.5
14371,14,7.61,Livarot-Pays-d'Auge,14140,6220,2.2
14383,14,12.78,Louvigny,14111,2683,2.8
14384,14,11.66,Luc-sur-Mer,14530,3213,3.6
14409,14,11.99,Merville-Franceville-Plage,14810,2186,3.7
14431,14,8.93,Mézidon Vallée d'Auge,14140,9586,2.7
14437,14,11.04,Mondeville,14120,9973,4.3
14478,14,7.98,Orbec,14290,1967,1.4
14488,14,12.22,Ouistreham,14150,9344,3.6
14514,14,11.15,Pont-l'Évêque,14130,4627,2.6
14536,14,10.19,La Rivière-Saint-Sauveur,14600,2547,2.0
14543,14,11.16,Rots,14740,2448,
14557,14,12.14,Saint-Arnoult,14800,1132,5.0
14562,14,10.68,Saint-Aubin-sur-Mer,14750,2237,4.1
14610,14,10.17,Saint-Manvieu-Norrey,14740,1955,
14654,14,8.11,Saint-Pierre-en-Auge,14140,7329,4.4
14689,14,8.82,Thury-Harcourt-le-Hom,14220,3629,3.5
14699,14,11.58,Touques,14800,3731,3.6
14712,14,10.73,Troarn,14670,3459,4.5
14715,14,13.81,Trouville-sur-Mer,14360,4603,3.9
14726,14,6.65,Valdallière,14350,5755,2.4
14738,14,11.28,Verson,14790,3636,4.7
14754,14,11.98,Villers-sur-Mer,14640,2543,3.5
14762,14,7.51,Vire Normandie,14500,16590,2.6
15014,15,8.31,Aurillac,15000,25593,3.3
15119,15,7.72,Massiac,15500,1797,
15120,15,7.25,Mauriac,15200,3498,3.2
15138,15,6.96,Murat,15300,1845,5.0
15162,15,7.51,Riom-ès-Montagnes,15400,2479,
15187,15,8.31,Saint-Flour,15100,6458,3.5
15258,15,7.09,Vic-sur-Cère,15800,1838,
16015,16,9.25,Angoulême,16000,41603,3.2
16028,16,7.79,Barbezieux-Saint-Hilaire,16300,4714,3.0
16085,16,7.71,Chasseneuil-sur-Bonnieure,16260,3083,4.4
16090,16,7.93,Châteauneuf-sur-Charente,16120,3537,1.2
16102,16,9.12,Cognac,16100,18670,3.6
16113,16,8.65,La Couronne,16400,7764,4.1
16154,16,9.36,Gond-Pontouvre,16160,6119,2.9
16166,16,9.31,L'Isle-d'Espagnac,16340,5626,3.3
16167,16,8.77,Jarnac,16200,4434,4.0
16281,16,8.1,La Rochefoucauld-en-Angoumois,16110,3977,
16291,16,8.98,Ruelle-sur-Touvre,16600,7305,3.7
16292,16,8.14,Ruffec,16700,3372,3.8
16341,16,9.34,Saint-Michel,16470,3218,
16358,16,9.99,Saint-Yrieix-sur-Charente,16710,7381,
16374,16,9.3,Soyaux,16800,9761,3.3
17003,17,10.5,Aigrefeuille-d'Aunis,17290,4143,3.4
17010,17,11.28,Angoulins,17690,4050,3.3
17021,17,10.37,Arvert,17530,3566,4.1
17028,17,12.52,Aytré,17440,9247,4.2
17058,17,9.68,Bourcefranc-le-Chapus,17560,3506,2.9
17093,17,10.59,Le Château-d'Oléron,17480,4270,3.1
17094,17,12.84,Châtelaillon-Plage,17340,5900,3.6
17127,17,8.53,Courçon,17170,1776,4.6
